캐릭터명,English_Name,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,퍼스널리티리스트,속성_아이콘경로리스트,무기_아이콘경로리스트,방어구_아이콘경로리스트,속성장비_정보,출시일
미스트레아,Mistrare,04_data\images\character_art\icons\101050121_rank5_command.png,4~5★,"바람, 결정",활,"Minstrel, Bookworm, Nicknamer, West, Bow, Wind, Crystal",04_data/images/character_art/elements_equipment/wind_icon.png|04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|Skill Type 8 64.png|202000005 icon.png|216000004 icon.png,2020-11-25
스컬,Skull,04_data\images\character_art\icons\101400011_rank5_command.png,5★,번개,망치,"Mask, Phantom Thieves of Hearts, Gun, Hammer, Thunder",04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 16.png|202000007 icon.png|216000002 icon.png,2020-11-17
빅트,Victor,04_data\images\character_art\icons\101020111_rank5_command.png,4~5★,"바람, 번개",도,"Baruoki, Cursed, Katana, Wind, Thunder",04_data/images/character_art/elements_equipment/wind_icon.png|04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|Skill Type 8 16.png|202000002 icon.png|216000004 icon.png,2020-11-17
바이올렛,Violet,04_data\images\character_art\icons\101400071_rank5_command.png,5★,땅,검,"Mask, Phantom Thieves of Hearts, Glutton, Gun, Sword, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000001 icon.png|216000002 icon.png,2020-11-17
포란 AS,Foran AS,04_data\images\character_art\icons\101040051_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000004 icon.png|216000002 icon.png,2020-11-05
틸릴,Thillelille,04_data\images\character_art\icons\101010121_rank5_command.png,4~5★,"불, 그림자",검,"Clergy, Sweet tooth, West, Sword, Fire, Shade",04_data/images/character_art/elements_equipment/fire_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|Skill Type 8 32.png|202000001 icon.png|216000002 icon.png,2020-11-05
시엘 AS,Ciel AS,04_data\images\character_art\icons\101050021_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000005 icon.png|216000004 icon.png,2020-10-27
유인,Yipha,04_data\images\character_art\icons\101070101_rank5_command.png,4~5★,바람,망치,"Clergy, Lovesick, Nicknamer, Spicy Lover, Hammer, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000007 icon.png|216000002 icon.png,2020-10-14
섀넌 AS,Shannon AS,04_data\images\character_art\icons\101010091_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000001 icon.png|216000002 icon.png,2020-09-30
하디,Hardy,04_data\images\character_art\icons\101060131_rank5_command.png,4~5★,불,권갑,"Sweet tooth, Dog lover, Gun, Outlaw, Weapons, Zoology, Fists, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2020-09-17
소피아,Sophia,04_data\images\character_art\icons\101030141_rank5_command.png,2~5★,물,도끼,"Art, Bind, Gourmet, Weapons, Zoology, Ax, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|Skill Type 8 8.png|202000003 icon.png|216000003 icon.png,2020-09-17
신시아,Cynthia,04_data\images\character_art\icons\101010101_rank5_command.png,4~5★,바람,검,"Art, Bind, Bookworm, Gourmet, Royalty, Sword, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000001 icon.png|216000002 icon.png,2020-09-09
베이나 AS,Veina AS,04_data\images\character_art\icons\101000011_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000000 icon.png|216000004 icon.png,2020-08-31
제빌로,Zeviro,04_data\images\character_art\icons\101030131_rank5_command.png,4~5★,물,도끼,"Beast, Hood, Purgatory, Ax, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000003 icon.png|216000003 icon.png,2020-08-20
아나벨 AS,Anabel AS,04_data\images\character_art\icons\101010011_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000001 icon.png|216000002 icon.png,2020-08-06
라디아스,Radias,04_data\images\character_art\icons\101010111_rank5_command.png,4~5★,불,검,"Miglance Palace, Shield, Sword, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2020-07-28
뮬루스 AS,Myrus AS,04_data\images\character_art\icons\101000221_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2020-07-17
렌리 AS,Renri AS,04_data\images\character_art\icons\101030091_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000003 icon.png|216000003 icon.png,2020-07-09
티라미수,Tiramisu,04_data\images\character_art\icons\101040121_rank5_command.png,4~5★ SA,땅,창,"Sweet tooth, Dragon, Lance, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000004 icon.png|216000002 icon.png,2020-07-01
엘가 AS,Elga AS,04_data\images\character_art\icons\101020091_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000002 icon.png|216000004 icon.png,2020-06-18
펠미나 AS,Felmina AS,04_data\images\character_art\icons\101060091_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000006 icon.png|216000003 icon.png,2020-05-29
밍화,Myunfa,04_data\images\character_art\icons\101070091_rank5_command.png,4~5★,땅,망치,"Eastern, Bind, Land of Shin, Lovesick, Hammer, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000007 icon.png|216000002 icon.png,2020-05-20
세티 AS,Cetie AS,04_data\images\character_art\icons\101040091_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000004 icon.png|216000002 icon.png,2020-05-12
알테나,Altena,04_data\images\character_art\icons\101800111_rank5_command.png,5★,,활,"Beast, Demon Sword, Royalty, Spirit Talker, Bow",,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000005 icon.png|216000004 icon.png,2020-04-24
키쿄,Kikyo,04_data\images\character_art\icons\101030121_rank5_command.png,4~5★,바람,도끼,"Cat lover, Eastern, Avenger, Mounted, Ax, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000003 icon.png|216000003 icon.png,2020-04-24
니케 AS,Nikeh AS,04_data\images\character_art\icons\101020021_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000002 icon.png|216000004 icon.png,2020-04-24
짚돌이,Strawboy,04_data\images\character_art\icons\101100041_rank5_command.png,5★,,권갑,"Eastern, Straw Dummy, Fists",,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000006 icon.png|216000003 icon.png,2020-04-24
짚돌이,Strawboy,04_data\images\character_art\icons\101110041_rank5_command.png,5★,,권갑,"Eastern, Straw Dummy, Fists",,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000006 icon.png|216000003 icon.png,2020-04-24
짚돌이,Strawboy,04_data\images\character_art\icons\101160041_rank5_command.png,5★,,권갑,"Eastern, Straw Dummy, Fists",,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000006 icon.png|216000003 icon.png,2020-04-24
짚돌이,Strawboy,04_data\images\character_art\icons\101140041_rank5_command.png,5★,,권갑,"Eastern, Straw Dummy, Fists",,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000006 icon.png|216000003 icon.png,2020-04-24
짚돌이,Strawboy,04_data\images\character_art\icons\101170041_rank5_command.png,5★,,권갑,"Eastern, Straw Dummy, Fists",,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000006 icon.png|216000003 icon.png,2020-04-24
클로드 AS,Claude AS,04_data\images\character_art\icons\101050081_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000005 icon.png|216000004 icon.png,2020-04-14
프레메아,Premaya,04_data\images\character_art\icons\101050111_rank5_command.png,4~5★,땅,활,"Cooking, Lost Laboratory, Machinery, Bow, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000005 icon.png|216000004 icon.png,2020-04-02
가리유 AS,Gariyu AS,04_data\images\character_art\icons\101000081_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2020-03-24
유나 AS,Yuna AS,04_data\images\character_art\icons\101000121_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2020-03-24
셰이네 AS,Shanie AS,04_data\images\character_art\icons\101010081_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000001 icon.png|216000002 icon.png,2020-03-11
루이나 AS,Ruina AS,04_data\images\character_art\icons\101010031_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000001 icon.png|216000002 icon.png,2020-03-03
히스메나,Hismena,04_data\images\character_art\icons\101040111_rank5_command.png,4~5★ SA,물,창,"IDA School, Lance, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000004 icon.png|216000002 icon.png,2020-02-21
마나,Mana,04_data\images\character_art\icons\101050101_rank5_command.png,5★,,활,"IDA School, Bow",,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000005 icon.png|216000004 icon.png,2020-02-21
마리엘 AS,Mariel AS,04_data\images\character_art\icons\101000031_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2020-02-21
듀나리스,Dunarith,04_data\images\character_art\icons\101000251_rank5_command.png,4~5★,바람,지팡이,"Beast, Animal Talker, Funeral, Purgatory, Staff, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000000 icon.png|216000004 icon.png,2020-02-10
로키드 AS,Lokido AS,04_data\images\character_art\icons\101060031_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000006 icon.png|216000003 icon.png,2020-01-29
러블리,Lovely,04_data\images\character_art\icons\101060121_rank5_command.png,4~5★,불,권갑,"Cooking, Dwarf, Nicknamer, Fists, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2020-01-22
필로,Philo,04_data\images\character_art\icons\101030111_rank5_command.png,4~5★,물,도끼,"Woodcutter, Ax, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000003 icon.png|216000003 icon.png,2020-01-10
나기 AS,Nagi AS,04_data\images\character_art\icons\101030071_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000003 icon.png|216000003 icon.png,2019-12-28
아카네 AS,Akane AS,04_data\images\character_art\icons\101020051_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2019-12-19
조커,Joker,04_data\images\character_art\icons\101410011_rank5_command.png,4~5★,불,검,"Glasses, Mask, Phantom Thieves of Hearts, Gun, Sword, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2019-12-12
모르가나,Morgana,04_data\images\character_art\icons\101420011_rank5_command.png,5★,바람,검,"Phantom Thieves of Hearts, Amnesia, Lovesick, Sword, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000001 icon.png|216000002 icon.png,2019-12-12
로제타,Rosetta,04_data\images\character_art\icons\101000241_rank5_command.png,4~5★,불,지팡이,"Cat lover, Clergy, Sharp Ears, West, Staff, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2019-12-12
시구레,Shigure,04_data\images\character_art\icons\101020101_rank5_command.png,4~5★,물,도,"Cat lover, Childhood Friend, Eastern, Itto-Ryu, Land of Mi, Mounted, Spicy Lover, Katana, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000002 icon.png|216000004 icon.png,2019-12-05
츠바메,Tsubame,04_data\images\character_art\icons\101060111_rank5_command.png,4~5★,땅,권갑,"Eastern, Glutton, Land of Mi, Ninja, Fists, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000006 icon.png|216000003 icon.png,2019-12-05
메리나 AS,Melina AS,04_data\images\character_art\icons\101070061_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000007 icon.png|216000002 icon.png,2019-11-27
비아카,Biaka,04_data\images\character_art\icons\101070081_rank5_command.png,4~5★,바람,망치,"Mask, Gun, Military, Outlaw, Hammer, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000007 icon.png|216000002 icon.png,2019-11-14
갤리어드,Galliard,04_data\images\character_art\icons\101800063_rank5_command.png,4~5★ SA,땅,창,"Synth Human, Gun, Mounted, Outlaw, Lance, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000004 icon.png|216000002 icon.png,2019-11-14
호오즈키,Hozuki,04_data\images\character_art\icons\101050091_rank5_command.png,4~5★,불,활,"Cooking, Eastern, Fairy, Land of Shin, Spicy Lover, Bow, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000005 icon.png|216000004 icon.png,2019-11-08
라클레어 AS,Laclair AS,04_data\images\character_art\icons\101050061_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000005 icon.png|216000004 icon.png,2019-10-31
이루루,Ilulu,04_data\images\character_art\icons\101030101_rank5_command.png,4~5★,바람,도끼,"Mask, Hood, Purgatory, Ax, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000003 icon.png|216000003 icon.png,2019-10-25
라디카,Radica,04_data\images\character_art\icons\101000171_rank5_command.png,4~5★,불,지팡이,"Elf, Lovesick, Staff, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2019-10-25
노포우족,Nopaew,04_data\images\character_art\icons\101070071_command.png,2~4★,바람,망치,"Blacksmith, Estrangement, Hood, Miner, Hammer, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000007 icon.png|216000002 icon.png,2019-10-25
듀이,Dewey,04_data\images\character_art\icons\101060101_rank5_command.png,4~5★,물,권갑,"Glasses, Bookworm, Gun, Lost Laboratory, Lovesick, Fists, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000006 icon.png|216000003 icon.png,2019-10-15
시온 AS,Shion AS,04_data\images\character_art\icons\101020031_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2019-10-15
베이나,Veina,04_data\images\character_art\icons\101000011_rank5_command.png,4~5★,바람,지팡이,"Elf, Bookworm, Forager, Zoology, Staff, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000000 icon.png|216000004 icon.png,2019-10-03
엘가,Elga,04_data\images\character_art\icons\101020091_rank5_command.png,4~5★,땅,도,"Cat lover, Amnesia, Hood, Katana, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000002 icon.png|216000004 icon.png,2019-09-27
투바 AS,Toova AS,04_data\images\character_art\icons\101000051_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2019-09-27
